date,network,time,program,episode,source,archive_url
1980-01-01,,,TV Guide - Jun 07 - Jun 13 - 1980,,Internet Archive,https://archive.org/details/TV-Guide-1980-June-7-13
1980-01-01,,,TV Guide - Jun 21 - Jun 27 - 1980,,Internet Archive,https://archive.org/details/tvguidejun21jun271980_201907
1980-01-01,,,TV Guide - Mar 08 - Mar 14 - 1980,,Internet Archive,https://archive.org/details/tvguide0308141980
1980-01-01,,,TV Guide - May 03 - May 09 - 1980,,Internet Archive,https://archive.org/details/tvguidemay03may091980
1980-01-01,,,TV Guide - May 31 - Jun 06 - 1980,,Internet Archive,https://archive.org/details/tvguidemay31june6
1980-01-01,,,TV Guide - Sep 13 - Sep 19 - 1980 (Fall Preview),,Internet Archive,https://archive.org/details/tvguidesep13sep191980_20190729_1857
1980-01-01,,,TV Guide - Sep 27 - Oct 3 - 1980,,Internet Archive,https://archive.org/details/tvguidesep271980
1980-01-01,,,TV Guide First 25 years,,Internet Archive,https://archive.org/details/tvguidefirst25ye0000jays
1980-01-01,,,TV Guide issues from 1980,,Internet Archive,https://archive.org/details/tv-guide-v-28-n-37-1433-1980-09-13
1980-01-01,,,TV guide almanac,,Internet Archive,https://archive.org/details/tvguidealmanac00norb
1980-01-01,,,"TV guide, the first 25 years",,Internet Archive,https://archive.org/details/tvguidefirst25ye0000unse
1981-01-01,,,TV Guide ( Elvis Presley 1981 Los Angeles Edition),,Internet Archive,https://archive.org/details/tv-guide-elvis-presley-1981-los-angeles-edition
1981-01-01,,,TV Guide issues from 1981,,Internet Archive,https://archive.org/details/tv-guide-1981
1981-01-01,,,TV Guide v30n50 (#1550) [1982-12-11] {EXciter},,Internet Archive,https://archive.org/details/tvguidev30n501550dec111982exciter_201908
1981-01-01,,,Television today : a close-up view : readings from TV guide,,Internet Archive,https://archive.org/details/televisiontoday00tate
1982-01-01,,,Mazes and Monsters - TV Guide article,,Internet Archive,https://archive.org/details/mazes-and-monsters-tv-guide-1982
1982-01-01,,,TV Guide (1982 Vermont-Canada Edition; Nell Carter & Dolph Sweet),,Internet Archive,https://archive.org/details/tvguide1982vermontcanadaedition
1982-01-01,,,"TV Guide - 1982-07-10 - Los Angeles, CA Edition",,Internet Archive,https://archive.org/details/tv-guide-1982-07-10-los-angeles-ca
1982-01-01,,,TV Guide - July 10 - 16 - 1982,,Internet Archive,https://archive.org/details/tvguidejul10161982
