week_date,top_song,top_artist,tv_programs,magazine_titles,radio_top_tracks
1992-03-02,To Be With You,Mr. Big,,,
1992-03-09,To Be With You,Mr. Big,,,
1992-03-16,Save The Best For Last,Vanessa Williams,,,
1992-03-23,Save The Best For Last,Vanessa Williams,,,
1992-03-30,Save The Best For Last,Vanessa Williams,,,
1992-04-06,Save The Best For Last,Vanessa Williams,,,
1992-04-13,Save The Best For Last,Vanessa Williams,,,
1992-04-20,Jump,Kris Kross,,,
1992-04-27,Jump,Kris Kross,,,
1992-05-04,Jump,Kris Kross,,,
1992-05-11,Jump,Kris Kross,,,
1992-05-18,Jump,Kris Kross,,,
1992-05-25,Jump,Kris Kross,,,
1992-06-01,Jump,Kris Kross,,,
1992-06-08,Jump,Kris Kross,,,
1992-06-15,I'll Be There,Mariah Carey,,,
1992-06-22,I'll Be There,Mariah Carey,,,
1992-06-29,Baby Got Back,Sir Mix-a-lot,,,
1992-07-06,Baby Got Back,Sir Mix-a-lot,,,
1992-07-13,Baby Got Back,Sir Mix-a-lot,,,
1992-07-20,Baby Got Back,Sir Mix-a-lot,,,
1992-07-27,Baby Got Back,Sir Mix-a-lot,,,
1992-08-03,This Used To Be My Playground,Madonna,,,
1992-08-10,"End Of The Road (From ""Boomerang"")",Boyz Ii Men,,,
1992-08-17,"End Of The Road (From ""Boomerang"")",Boyz Ii Men,,,
1992-08-24,"End Of The Road (From ""Boomerang"")",Boyz Ii Men,,,
1992-08-31,"End Of The Road (From ""Boomerang"")",Boyz Ii Men,,,
1992-09-07,"End Of The Road (From ""Boomerang"")",Boyz Ii Men,,,
1992-09-14,"End Of The Road (From ""Boomerang"")",Boyz Ii Men,,,
1992-09-21,"End Of The Road (From ""Boomerang"")",Boyz Ii Men,,,
1992-09-28,"End Of The Road (From ""Boomerang"")",Boyz Ii Men,,,
1992-10-05,"End Of The Road (From ""Boomerang"")",Boyz Ii Men,,,
1992-10-12,"End Of The Road (From ""Boomerang"")",Boyz Ii Men,,,
1992-10-19,"End Of The Road (From ""Boomerang"")",Boyz Ii Men,,,
1992-10-26,"End Of The Road (From ""Boomerang"")",Boyz Ii Men,,,
1992-11-02,"End Of The Road (From ""Boomerang"")",Boyz Ii Men,,,
1992-11-09,How Do You Talk To An Angel,The Heights,,,
1992-11-16,How Do You Talk To An Angel,The Heights,,,
1992-11-23,I Will Always Love You,Whitney Houston,,,
1992-11-30,I Will Always Love You,Whitney Houston,,,
1992-12-07,I Will Always Love You,Whitney Houston,,,
1992-12-14,I Will Always Love You,Whitney Houston,,,
1992-12-21,I Will Always Love You,Whitney Houston,,,
1992-12-28,I Will Always Love You,Whitney Houston,TV Guide 4/17/1993 (NYC),"40 things you can do to save the Jewish people; A passion for daylilies : the flowers and the people; A people without a country : the Kurds and Kurdistan; Adequate Facilities for Rehabilitation of Affected People of Sardar Sarovar Project (6-Aug-1993); All male and female persons seventeen years of age or over listed in the city of Everett as of January 1, 1993",
1993-01-04,I Will Always Love You,Whitney Houston,,,
1993-01-11,I Will Always Love You,Whitney Houston,,,
1993-01-18,I Will Always Love You,Whitney Houston,,,
1993-01-25,I Will Always Love You,Whitney Houston,,,
1993-02-01,I Will Always Love You,Whitney Houston,,,
1993-02-08,I Will Always Love You,Whitney Houston,,,
1993-02-15,I Will Always Love You,Whitney Houston,,,
1993-02-22,I Will Always Love You,Whitney Houston,,,
1993-03-01,A Whole New World (Aladdin's Theme),Peabo Bryson,,,
1993-03-08,Informer,Snow,,,
1993-03-15,Informer,Snow,,,
1993-03-22,Informer,Snow,,,
1993-03-29,Informer,Snow,,,
1993-04-05,Informer,Snow,,,
1993-04-12,Informer,Snow,,,
1993-04-19,Informer,Snow,,,
1993-04-26,Freak Me,Silk,,,
1993-05-03,Freak Me,Silk,,,
1993-05-10,That's The Way Love Goes,Janet Jackson,,,
1993-05-17,That's The Way Love Goes,Janet Jackson,,,
1993-05-24,That's The Way Love Goes,Janet Jackson,,,
1993-05-31,That's The Way Love Goes,Janet Jackson,,,
1993-06-07,That's The Way Love Goes,Janet Jackson,,,
1993-06-14,That's The Way Love Goes,Janet Jackson,,,
1993-06-21,That's The Way Love Goes,Janet Jackson,,,
1993-06-28,That's The Way Love Goes,Janet Jackson,,,
1993-07-05,Weak,Swv,,,
1993-07-12,Weak,Swv,,,
1993-07-19,"Can't Help Falling In Love (From ""Sliver"")",Ub40,,,
1993-07-26,"Can't Help Falling In Love (From ""Sliver"")",Ub40,,,
1993-08-02,"Can't Help Falling In Love (From ""Sliver"")",Ub40,,,
1993-08-09,"Can't Help Falling In Love (From ""Sliver"")",Ub40,,,
1993-08-16,"Can't Help Falling In Love (From ""Sliver"")",Ub40,,,
1993-08-23,"Can't Help Falling In Love (From ""Sliver"")",Ub40,,,
1993-08-30,"Can't Help Falling In Love (From ""Sliver"")",Ub40,,,
1993-09-06,Dreamlover,Mariah Carey,,,
1993-09-13,Dreamlover,Mariah Carey,,,
1993-09-20,Dreamlover,Mariah Carey,,,
1993-09-27,Dreamlover,Mariah Carey,,,
1993-10-04,Dreamlover,Mariah Carey,,,
1993-10-11,Dreamlover,Mariah Carey,,,
1993-10-18,Dreamlover,Mariah Carey,,,
1993-10-25,Dreamlover,Mariah Carey,,,
1993-11-01,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,,,
1993-11-08,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,,,
1993-11-15,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,,,
1993-11-22,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,,,
1993-11-29,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,,,
1993-12-06,Again,Janet Jackson,,,
1993-12-13,Again,Janet Jackson,,,
1993-12-20,Hero,Mariah Carey,,,
1993-12-27,Hero,Mariah Carey,TV Guide 10/1/1994 (NYC); TV Guide 10/15/1994 (NYC); TV Guide 10/22/1994 (NYC); TV Guide 10/29/1994 (NYC); TV Guide 10/8/1994 (NYC),"""If you don't buy this book, we'll kill this dog!"" : life, laughs, love, and death at the National Lampoon; #1 adult contemporary hits of the sixties : as listed on the Billboard adult contemporary charts; A Differential Feature-Cost Analysis of Seventeen Computer-Assisted Career Guidance Systems: Technical Report Number 10. (Fifth Edition).; A People and A Nation: A History of the United States; Additions to the inventory of eastern tropical Atlantic ascidians: arrival of cosmopolitan species",
1994-01-03,Hero,Mariah Carey,,,
1994-01-10,Hero,Mariah Carey,,,
1994-01-17,All For Love,Bryan Adams/rod Stewart/sting,,,
1994-01-24,All For Love,Bryan Adams/rod Stewart/sting,,,
1994-01-31,All For Love,Bryan Adams/rod Stewart/sting,,,
1994-02-07,The Power Of Love,Celine Dion,,,
1994-02-14,The Power Of Love,Celine Dion,,,
1994-02-21,The Power Of Love,Celine Dion,,,
1994-02-28,The Power Of Love,Celine Dion,,,
1994-03-07,The Sign,Ace Of Base,,,
1994-03-14,The Sign,Ace Of Base,,,
1994-03-21,The Sign,Ace Of Base,,,
1994-03-28,The Sign,Ace Of Base,,,
1994-04-04,Bump N' Grind,R. Kelly,,,
1994-04-11,Bump N' Grind,R. Kelly,,,
1994-04-18,Bump N' Grind,R. Kelly,,,
1994-04-25,Bump N' Grind,R. Kelly,,,
1994-05-02,The Sign,Ace Of Base,,,
1994-05-09,The Sign,Ace Of Base,,,
1994-05-16,I Swear,All-4-one,,,
1994-05-23,I Swear,All-4-one,,,
1994-05-30,I Swear,All-4-one,,,
1994-06-06,I Swear,All-4-one,,,
1994-06-13,I Swear,All-4-one,,,
1994-06-20,I Swear,All-4-one,,,
1994-06-27,I Swear,All-4-one,,,
1994-07-04,I Swear,All-4-one,,,
1994-07-11,I Swear,All-4-one,,,
1994-07-18,I Swear,All-4-one,,,
1994-07-25,I Swear,All-4-one,,,
1994-08-01,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb,,,
1994-08-08,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb,,,
1994-08-15,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb,,,
1994-08-22,I'll Make Love To You,Boyz Ii Men,,,
1994-08-29,I'll Make Love To You,Boyz Ii Men,,,
1994-09-05,I'll Make Love To You,Boyz Ii Men,,,
1994-09-12,I'll Make Love To You,Boyz Ii Men,,,
1994-09-19,I'll Make Love To You,Boyz Ii Men,,,
1994-09-26,I'll Make Love To You,Boyz Ii Men,,,
1994-10-03,I'll Make Love To You,Boyz Ii Men,,,
1994-10-10,I'll Make Love To You,Boyz Ii Men,,,
1994-10-17,I'll Make Love To You,Boyz Ii Men,,,
1994-10-24,I'll Make Love To You,Boyz Ii Men,,,
1994-10-31,I'll Make Love To You,Boyz Ii Men,,,
1994-11-07,I'll Make Love To You,Boyz Ii Men,,,
1994-11-14,I'll Make Love To You,Boyz Ii Men,,,
1994-11-21,I'll Make Love To You,Boyz Ii Men,,,
1994-11-28,On Bended Knee,Boyz Ii Men,,,
1994-12-05,On Bended Knee,Boyz Ii Men,,,
1994-12-12,"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,,,
1994-12-19,"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,,,
1994-12-26,On Bended Knee,Boyz Ii Men,TV Guide 1/14/1995 (NYC); TV Guide 1/21/1995 (NYC); TV Guide 1/28/1995 (NYC); TV Guide 1/7/1995 (NYC); TV Guide 11/18/1995 (NYC),"1995 Billboard International Buyer's Guide; Advocate asks Minister of Health if she's killed more people than Clifford Olson; Alaska people : Vol. 16, No. 5, September/October 1995; All male and female persons seventeen years of age or over listed in the city of Everett as of January 1, 1995; Animals & people : release 3 and 4",
1995-01-02,On Bended Knee,Boyz Ii Men,,,
1995-01-09,On Bended Knee,Boyz Ii Men,,,
1995-01-16,On Bended Knee,Boyz Ii Men,,,
1995-01-23,Creep,Tlc,,,
1995-01-30,Creep,Tlc,,,
1995-02-06,Creep,Tlc,,,
1995-02-13,Creep,Tlc,,,
1995-02-20,Take A Bow,Madonna,,,
1995-02-27,Take A Bow,Madonna,,,
1995-03-06,Take A Bow,Madonna,,,
1995-03-13,Take A Bow,Madonna,,,
1995-03-20,Take A Bow,Madonna,,,
1995-03-27,Take A Bow,Madonna,,,
1995-04-03,Take A Bow,Madonna,,,
1995-04-10,This Is How We Do It,Montell Jordan,,,
1995-04-17,This Is How We Do It,Montell Jordan,,,
1995-04-24,This Is How We Do It,Montell Jordan,,,
1995-05-01,This Is How We Do It,Montell Jordan,,,
1995-05-08,This Is How We Do It,Montell Jordan,,,
1995-05-15,This Is How We Do It,Montell Jordan,,,
1995-05-22,This Is How We Do It,Montell Jordan,,,
1995-05-29,Have You Ever Really Loved A Woman?,Bryan Adams,,,
1995-06-05,Have You Ever Really Loved A Woman?,Bryan Adams,,,
1995-06-12,Have You Ever Really Loved A Woman?,Bryan Adams,,,
1995-06-19,Have You Ever Really Loved A Woman?,Bryan Adams,,,
1995-06-26,Have You Ever Really Loved A Woman?,Bryan Adams,,,
1995-07-03,Waterfalls,Tlc,,,
1995-07-10,Waterfalls,Tlc,,,
1995-07-17,Waterfalls,Tlc,,,
1995-07-24,Waterfalls,Tlc,,,
1995-07-31,Waterfalls,Tlc,,,
1995-08-07,Waterfalls,Tlc,,,
1995-08-14,Waterfalls,Tlc,,,
1995-08-21,Kiss From A Rose,Seal,,,
1995-08-28,You Are Not Alone,Michael Jackson,,,
1995-09-04,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio,,,
1995-09-11,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio,,,
1995-09-18,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio,,,
1995-09-25,Fantasy,Mariah Carey,,,
1995-10-02,Fantasy,Mariah Carey,,,
1995-10-09,Fantasy,Mariah Carey,,,
1995-10-16,Fantasy,Mariah Carey,,,
1995-10-23,Fantasy,Mariah Carey,,,
1995-10-30,Fantasy,Mariah Carey,,,
1995-11-06,Fantasy,Mariah Carey,,,
1995-11-13,Fantasy,Mariah Carey,,,
1995-11-20,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston,,,
1995-11-27,One Sweet Day,Mariah Carey,,,
1995-12-04,One Sweet Day,Mariah Carey,,,
1995-12-11,One Sweet Day,Mariah Carey,,,
1995-12-18,One Sweet Day,Mariah Carey,,,
1995-12-25,One Sweet Day,Mariah Carey,,,
1996-01-01,One Sweet Day,Mariah Carey,Prime-time style : the ultimate TV guide to fashion hits-- and misses; The Lake Placid News - TV Listings - 03-16-1996,3-Way Cum Number Seventeen; A freeborn people : politics and the nation in seventeenth-century England; Billboard; Billboard in Tamil; Billboard international talent & touring directory 1996,
1996-01-08,One Sweet Day,Mariah Carey,,,
1996-01-15,One Sweet Day,Mariah Carey,,,
1996-01-22,One Sweet Day,Mariah Carey,,,
1996-01-29,One Sweet Day,Mariah Carey,,,
1996-02-05,One Sweet Day,Mariah Carey,,,
1996-02-12,One Sweet Day,Mariah Carey,,,
1996-02-19,One Sweet Day,Mariah Carey,,,
1996-02-26,One Sweet Day,Mariah Carey,,,
1996-03-04,One Sweet Day,Mariah Carey,,,
1996-03-11,One Sweet Day,Mariah Carey,,,
1996-03-18,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,,,
1996-03-25,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,,,
1996-04-01,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,,,
1996-04-08,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,,,
1996-04-15,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,,,
1996-04-22,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,,,
1996-04-29,Always Be My Baby,Mariah Carey,,,
1996-05-06,Always Be My Baby,Mariah Carey,,,
1996-05-13,Tha Crossroads,Bone Thugs-n-harmony,,,
1996-05-20,Tha Crossroads,Bone Thugs-n-harmony,,,
1996-05-27,Tha Crossroads,Bone Thugs-n-harmony,,,
1996-06-03,Tha Crossroads,Bone Thugs-n-harmony,,,
1996-06-10,Tha Crossroads,Bone Thugs-n-harmony,,,
1996-06-17,Tha Crossroads,Bone Thugs-n-harmony,,,
1996-06-24,Tha Crossroads,Bone Thugs-n-harmony,,,
1996-07-01,Tha Crossroads,Bone Thugs-n-harmony,,,
1996-07-08,How Do U Want It/California Love,2pac,,,
1996-07-15,How Do U Want It/California Love,2pac,,,
1996-07-22,You're Makin' Me High/Let It Flow,Toni Braxton,,,
1996-07-29,Macarena (Bayside Boys Mix),Los Del Rio,,,
1996-08-05,Macarena (Bayside Boys Mix),Los Del Rio,,,
1996-08-12,Macarena (Bayside Boys Mix),Los Del Rio,,,
1996-08-19,Macarena (Bayside Boys Mix),Los Del Rio,,,
1996-08-26,Macarena (Bayside Boys Mix),Los Del Rio,,,
1996-09-02,Macarena (Bayside Boys Mix),Los Del Rio,,,
1996-09-09,Macarena (Bayside Boys Mix),Los Del Rio,,,
1996-09-16,Macarena (Bayside Boys Mix),Los Del Rio,,,
1996-09-23,Macarena (Bayside Boys Mix),Los Del Rio,,,
1996-09-30,Macarena (Bayside Boys Mix),Los Del Rio,,,
1996-10-07,Macarena (Bayside Boys Mix),Los Del Rio,,,
1996-10-14,Macarena (Bayside Boys Mix),Los Del Rio,,,
1996-10-21,Macarena (Bayside Boys Mix),Los Del Rio,,,
1996-10-28,Macarena (Bayside Boys Mix),Los Del Rio,,,
1996-11-04,No Diggity,Blackstreet,,,
1996-11-11,No Diggity,Blackstreet,,,
1996-11-18,No Diggity,Blackstreet,,,
1996-11-25,No Diggity,Blackstreet,,,
1996-12-02,Un-Break My Heart,Toni Braxton,,,
1996-12-09,Un-Break My Heart,Toni Braxton,,,
1996-12-16,Un-Break My Heart,Toni Braxton,,,
1996-12-23,Un-Break My Heart,Toni Braxton,,,
1996-12-30,Un-Break My Heart,Toni Braxton,TV Guide (1997/03/29 to 04) God And Television (N Indiana); TV Guide - (1997/09/13 to 19) - FALL PREVIEW (N Indiana),"A KARYOMORPHOLOGICAL STUDY OF SEVENTEEN SPECIES OF CHINESE CAMELLIA; A history of young people in the West; Abandoned: what is God's will for the Jewish people and the Church?; Access to assessment : perspectives of practitioners, disabled people and carers; Air pollution, people, and plants : an introduction",
1997-01-06,Un-Break My Heart,Toni Braxton,,,
1997-01-13,Un-Break My Heart,Toni Braxton,,,
1997-01-20,Un-Break My Heart,Toni Braxton,,,
1997-01-27,Un-Break My Heart,Toni Braxton,,,
1997-02-03,Un-Break My Heart,Toni Braxton,,,
1997-02-10,Un-Break My Heart,Toni Braxton,,,
1997-02-17,Wannabe,Spice Girls,,,
1997-02-24,Wannabe,Spice Girls,,,
1997-03-03,Wannabe,Spice Girls,,,
1997-03-10,Wannabe,Spice Girls,,,
1997-03-17,Can't Nobody Hold Me Down,Puff Daddy,,,
1997-03-24,Can't Nobody Hold Me Down,Puff Daddy,,,
1997-03-31,Can't Nobody Hold Me Down,Puff Daddy,,,
1997-04-07,Can't Nobody Hold Me Down,Puff Daddy,,,
1997-04-14,Can't Nobody Hold Me Down,Puff Daddy,,,
1997-04-21,Can't Nobody Hold Me Down,Puff Daddy,,,
1997-04-28,Hypnotize,The Notorious B.i.g,,,
1997-05-05,Hypnotize,The Notorious B.i.g,,,
1997-05-12,Hypnotize,The Notorious B.i.g,,,
1997-05-19,MMMBop,Hanson,,,
1997-05-26,MMMBop,Hanson,,,
1997-06-02,MMMBop,Hanson,,,
1997-06-09,I'll Be Missing You,Puff Daddy,,,
1997-06-16,I'll Be Missing You,Puff Daddy,,,
1997-06-23,I'll Be Missing You,Puff Daddy,,,
1997-06-30,I'll Be Missing You,Puff Daddy,,,
1997-07-07,I'll Be Missing You,Puff Daddy,,,
1997-07-14,I'll Be Missing You,Puff Daddy,,,
1997-07-21,I'll Be Missing You,Puff Daddy,,,
1997-07-28,I'll Be Missing You,Puff Daddy,,,
1997-08-04,I'll Be Missing You,Puff Daddy,,,
1997-08-11,I'll Be Missing You,Puff Daddy,,,
1997-08-18,I'll Be Missing You,Puff Daddy,,,
1997-08-25,Mo Money Mo Problems,The Notorious B.i.g,,,
1997-09-01,Mo Money Mo Problems,The Notorious B.i.g,,,
1997-09-08,Honey,Mariah Carey,,,
1997-09-15,Honey,Mariah Carey,,,
1997-09-22,Honey,Mariah Carey,,,
1997-09-29,4 Seasons Of Loneliness,Boyz Ii Men,,,
1997-10-06,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,,
1997-10-13,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,,
1997-10-20,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,,
1997-10-27,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,,
1997-11-03,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,,
1997-11-10,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,,
1997-11-17,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,,
1997-11-24,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,,
1997-12-01,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,,
1997-12-08,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,,
1997-12-15,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,,
1997-12-22,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,,
1997-12-29,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,TV Guide - (1998/01/03 to 09) The Simpsons (N Ind); TV Guide - (1998/09/26 to 02) (N Ind) Girl Power; TV Guide - 1998/08/15 to 21 - ( N Ind) Diana; The TV Guide book of lists,"A history of the Southwest : the land and its people; ABS Census 1996, Aboriginal and Torres Strait Islander People - Western Australia; ABS Education and training important to NSW people - ABS figures, 1997 (Media Release); ABS Education and training important to WA people - ABS figures, 1997 (Media Release); All male or female persons seventeen years of age or over listed in the City of Everett as of January 1, 1998",
1998-01-05,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,,
1998-01-12,Truly Madly Deeply,Savage Garden,,,
1998-01-19,Truly Madly Deeply,Savage Garden,,,
1998-01-26,Together Again,Janet,,,
1998-02-02,Together Again,Janet,,,
1998-02-09,Nice & Slow,Usher,,,
1998-02-16,Nice & Slow,Usher,,,
1998-02-23,My Heart Will Go On,Celine Dion,,,
1998-03-02,My Heart Will Go On,Celine Dion,,,
1998-03-09,Gettin' Jiggy Wit It,Will Smith,,,
1998-03-16,Gettin' Jiggy Wit It,Will Smith,,,
1998-03-23,Gettin' Jiggy Wit It,Will Smith,,,
1998-03-30,All My Life,K-ci,,,
1998-04-06,All My Life,K-ci,,,
1998-04-13,All My Life,K-ci,,,
1998-04-20,Too Close,Next,,,
1998-04-27,Too Close,Next,,,
1998-05-04,Too Close,Next,,,
1998-05-11,Too Close,Next,,,
1998-05-18,My All,Mariah Carey,,,
1998-05-25,Too Close,Next,,,
1998-06-01,The Boy Is Mine,Brandy,,,
1998-06-08,The Boy Is Mine,Brandy,,,
1998-06-15,The Boy Is Mine,Brandy,,,
1998-06-22,The Boy Is Mine,Brandy,,,
1998-06-29,The Boy Is Mine,Brandy,,,
1998-07-06,The Boy Is Mine,Brandy,,,
1998-07-13,The Boy Is Mine,Brandy,,,
1998-07-20,The Boy Is Mine,Brandy,,,
1998-07-27,The Boy Is Mine,Brandy,,,
1998-08-03,The Boy Is Mine,Brandy,,,
1998-08-10,The Boy Is Mine,Brandy,,,
1998-08-17,The Boy Is Mine,Brandy,,,
1998-08-24,The Boy Is Mine,Brandy,,,
1998-08-31,I Don't Want To Miss A Thing,Aerosmith,,,
1998-09-07,I Don't Want To Miss A Thing,Aerosmith,,,
1998-09-14,I Don't Want To Miss A Thing,Aerosmith,,,
1998-09-21,I Don't Want To Miss A Thing,Aerosmith,,,
1998-09-28,The First Night,Monica,,,
1998-10-05,The First Night,Monica,,,
1998-10-12,One Week,Barenaked Ladies,,,
1998-10-19,The First Night,Monica,,,
1998-10-26,The First Night,Monica,,,
1998-11-02,The First Night,Monica,,,
1998-11-09,Doo Wop (That Thing),Lauryn Hill,,,
1998-11-16,Doo Wop (That Thing),Lauryn Hill,,,
1998-11-23,Lately,Divine,,,
1998-11-30,I'm Your Angel,R. Kelly,,,
1998-12-07,I'm Your Angel,R. Kelly,,,
1998-12-14,I'm Your Angel,R. Kelly,,,
1998-12-21,I'm Your Angel,R. Kelly,,,
1998-12-28,I'm Your Angel,R. Kelly,"Perth TV Guide 31121999; TV Guide - (1999/05/01 to 07) (Cincinnati) Kentucky Derby Special; TV Guide - 1999/08/21 to 27 - (Cincinnati) - Cher; TV Guide January 23 29, 1999 Albany NY Edition; TV heaven : the ultimate TV guide","All male or female persons seventeen years of age or over listed in the City of Everett as of January 1, 1999; Astonishing century : a rapid reference guide to the events and people we remember, perfect for creating your personal memoirs or family history; Avant-Guide London: Insiders' Guide for Cosmopolitan Travelers (Avant-Guide); Billboard; Billboard Dad",
1999-01-04,I'm Your Angel,R. Kelly,,,
1999-01-11,Have You Ever?,Brandy,,,
1999-01-18,Have You Ever?,Brandy,,,
1999-01-25,...Baby One More Time,Britney Spears,,,
1999-02-01,...Baby One More Time,Britney Spears,,,
1999-02-08,Angel Of Mine,Monica,,,
1999-02-15,Angel Of Mine,Monica,,,
1999-02-22,Angel Of Mine,Monica,,,
1999-03-01,Angel Of Mine,Monica,,,
1999-03-08,Believe,Cher,,,
1999-03-15,Believe,Cher,,,
1999-03-22,Believe,Cher,,,
1999-03-29,Believe,Cher,,,
1999-04-05,No Scrubs,Tlc,,,
1999-04-12,No Scrubs,Tlc,,,
1999-04-19,No Scrubs,Tlc,,,
1999-04-26,No Scrubs,Tlc,,,
1999-05-03,Livin' La Vida Loca,Ricky Martin,,,
1999-05-10,Livin' La Vida Loca,Ricky Martin,,,
1999-05-17,Livin' La Vida Loca,Ricky Martin,,,
1999-05-24,Livin' La Vida Loca,Ricky Martin,,,
1999-05-31,Livin' La Vida Loca,Ricky Martin,,,
1999-06-07,If You Had My Love,Jennifer Lopez,,,
1999-06-14,If You Had My Love,Jennifer Lopez,,,
1999-06-21,If You Had My Love,Jennifer Lopez,,,
1999-06-28,If You Had My Love,Jennifer Lopez,,,
1999-07-05,If You Had My Love,Jennifer Lopez,,,
1999-07-12,"Bills, Bills, Bills",Destiny's Child,,,
1999-07-19,Wild Wild West,Will Smith,,,
1999-07-26,Genie In A Bottle,Christina Aguilera,,,
1999-08-02,Genie In A Bottle,Christina Aguilera,,,
1999-08-09,Genie In A Bottle,Christina Aguilera,,,
1999-08-16,Genie In A Bottle,Christina Aguilera,,,
1999-08-23,Genie In A Bottle,Christina Aguilera,,,
1999-08-30,Bailamos,Enrique Iglesias,,,
1999-09-06,Bailamos,Enrique Iglesias,,,
1999-09-13,Unpretty,Tlc,,,
1999-09-20,Unpretty,Tlc,,,
1999-09-27,Unpretty,Tlc,,,
1999-10-04,Heartbreaker,Mariah Carey,,,
1999-10-11,Heartbreaker,Mariah Carey,,,
1999-10-18,Smooth,Santana,,,
1999-10-25,Smooth,Santana,,,
1999-11-01,Smooth,Santana,,,
1999-11-08,Smooth,Santana,,,
1999-11-15,Smooth,Santana,,,
1999-11-22,Smooth,Santana,,,
1999-11-29,Smooth,Santana,,,
1999-12-06,Smooth,Santana,,,
1999-12-13,Smooth,Santana,,,
1999-12-20,Smooth,Santana,,,
1999-12-27,Smooth,Santana,ONdigital TV Guide April 2000; Perth TV Guide 01102000; Perth TV Guide 15092000; Perth TV Guide 24122000; Perth TV Guide 29092000,"2000 December Entertainment Weekly Eminem and Dido; A sacramental people : initiation into a faith community; All male or female persons seventeen years of age or over listed in the City of Everett as of January 1, 2000; American beliefs : what keeps a big country and a diverse people united; Billboard",
2000-01-03,Smooth,Santana,,,
2000-01-10,What A Girl Wants,Christina Aguilera,,,
2000-01-17,What A Girl Wants,Christina Aguilera,,,
2000-01-24,I Knew I Loved You,Savage Garden,,,
2000-01-31,I Knew I Loved You,Savage Garden,,,
2000-02-07,I Knew I Loved You,Savage Garden,,,
2000-02-14,Thank God I Found You,Mariah Carey,,,
2000-02-21,I Knew I Loved You,Savage Garden,,,
2000-02-28,Amazed,Lonestar,,,
2000-03-06,Amazed,Lonestar,,,
2000-03-13,Say My Name,Destiny's Child,,,
2000-03-20,Say My Name,Destiny's Child,,,
2000-03-27,Say My Name,Destiny's Child,,,
2000-04-03,Maria Maria,Santana,,,
2000-04-10,Maria Maria,Santana,,,
2000-04-17,Maria Maria,Santana,,,
2000-04-24,Maria Maria,Santana,,,
2000-05-01,Maria Maria,Santana,,,
2000-05-08,Maria Maria,Santana,,,
2000-05-15,Maria Maria,Santana,,,
2000-05-22,Maria Maria,Santana,,,
2000-05-29,Maria Maria,Santana,,,
2000-06-05,Maria Maria,Santana,,,
2000-06-12,Try Again,Aaliyah,,,
2000-06-19,Be With You,Enrique Iglesias,,,
2000-06-26,Be With You,Enrique Iglesias,,,
2000-07-03,Be With You,Enrique Iglesias,,,
2000-07-10,Everything You Want,Vertical Horizon,,,
2000-07-17,Bent,Matchbox Twenty,,,
2000-07-24,It's Gonna Be Me,*nsync,,,
2000-07-31,It's Gonna Be Me,*nsync,,,
2000-08-07,Incomplete,Sisqo,,,
2000-08-14,Incomplete,Sisqo,,,
2000-08-21,Doesn't Really Matter,Janet,,,
2000-08-28,Doesn't Really Matter,Janet,,,
2000-09-04,Doesn't Really Matter,Janet,,,
2000-09-11,Music,Madonna,,,
2000-09-18,Music,Madonna,,,
2000-09-25,Music,Madonna,,,
2000-10-02,Music,Madonna,,,
2000-10-09,Come On Over Baby (All I Want Is You),Christina Aguilera,,,
2000-10-16,Come On Over Baby (All I Want Is You),Christina Aguilera,,,
2000-10-23,Come On Over Baby (All I Want Is You),Christina Aguilera,,,
