week_date,top_song,top_artist,tv_programs,magazine_titles,radio_top_tracks
1971-04-05,Just My Imagination (Running Away With Me),The Temptations,,,
1971-04-12,Joy To The World,Three Dog Night,,,
1971-04-19,Joy To The World,Three Dog Night,,,
1971-04-26,Joy To The World,Three Dog Night,,Tiger Beat May 1971 Vol 7 No 8,
1971-05-03,Joy To The World,Three Dog Night,,,
1971-05-10,Joy To The World,Three Dog Night,,,
1971-05-17,Joy To The World,Three Dog Night,,,
1971-05-24,Brown Sugar,The Rolling Stones,,,
1971-05-31,Brown Sugar,The Rolling Stones,,,
1971-06-07,Want Ads,The Honey Cone,,,
1971-06-14,It's Too Late/I Feel The Earth Move,Carole King,,,
1971-06-21,It's Too Late/I Feel The Earth Move,Carole King,,,
1971-06-28,It's Too Late/I Feel The Earth Move,Carole King,,,
1971-07-05,It's Too Late/I Feel The Earth Move,Carole King,,,
1971-07-12,It's Too Late/I Feel The Earth Move,Carole King,,,
1971-07-19,Indian Reservation (The Lament Of The Cherokee Reservation Indian),The Raiders,,,
1971-07-26,You've Got A Friend,James Taylor,,,
1971-08-02,How Can You Mend A Broken Heart,Bee Gees,,,
1971-08-09,How Can You Mend A Broken Heart,Bee Gees,,,
1971-08-16,How Can You Mend A Broken Heart,Bee Gees,,,
1971-08-23,How Can You Mend A Broken Heart,Bee Gees,,,
1971-08-30,Uncle Albert/Admiral Halsey,Paul,,,
1971-09-06,Go Away Little Girl,Donny Osmond,,,
1971-09-13,Go Away Little Girl,Donny Osmond,,,
1971-09-20,Go Away Little Girl,Donny Osmond,,,
1971-09-27,Maggie May/Reason To Believe,Rod Stewart,,,
1971-10-04,Maggie May/Reason To Believe,Rod Stewart,,,
1971-10-11,Maggie May/Reason To Believe,Rod Stewart,,,
1971-10-18,Maggie May/Reason To Believe,Rod Stewart,,,
1971-10-25,Maggie May/Reason To Believe,Rod Stewart,,,
1971-11-01,"Gypsys, Tramps & Thieves",Cher,,,
1971-11-08,"Gypsys, Tramps & Thieves",Cher,,,
1971-11-15,Theme From Shaft,Isaac Hayes,,,
1971-11-22,Theme From Shaft,Isaac Hayes,,,
1971-11-29,Family Affair,Sly,,,
1971-12-06,Family Affair,Sly,,,
1971-12-13,Family Affair,Sly,,,
1971-12-20,Brand New Key,Melanie,,,
