rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
89,Love Is A Hurtin' Thing,Lou Rawls,4617.1539,4617.1539,0,13,14,0,8,1966-09-10,1966-12-10
90,Woman,Peter And Gordon,4556.9579,4556.9579,0,14,12,0,8,1966-02-12,1966-04-30
91,The Sound Of Silence,Simon,4551.3279,4431.3279,120,1,8,4,8,1966-01-01,1966-02-19
92,Listen People,Herman's Hermits,4521.3071,4446.3071,75,3,9,4,7,1966-02-19,1966-04-16
93,I Fought The Law,Bobby Fuller Four,4510.6983,4495.6983,15,9,11,2,8,1966-01-29,1966-04-09
94,Hungry,Paul Revere,4503.5983,4488.5983,15,6,11,3,7,1966-06-18,1966-08-27
95,I Saw Her Again,The Mamas,4492.0475,4452.0475,40,5,9,4,8,1966-07-02,1966-08-27
96,You Baby,The Turtles,4455.1356,4455.1356,0,20,12,0,9,1966-02-05,1966-04-23
97,Mellow Yellow,Donovan,4407.5661,4332.5661,75,2,8,6,7,1966-11-12,1966-12-31
98,Wouldn't It Be Nice,The Beach Boys,4406.1501,4391.1501,15,8,11,2,7,1966-07-30,1966-10-08
99,Almost Persuaded,David Houston,4405.9868,4405.9868,0,24,15,0,8,1966-07-16,1966-10-22
100,Shapes Of Things,The Yardbirds,4377.6966,4377.6966,0,11,11,0,8,1966-03-19,1966-05-28
